2025/06/21 00:51:13 [error] 4117604#4117604: *39906 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 139.59.136.184, server: 4lb.ca, request: "GET /info.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "4lb.ca"
2025/06/21 01:10:51 [error] 4117603#4117603: *40512 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /phpinfo.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:10:52 [error] 4117603#4117603: *40515 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /info.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:10:52 [error] 4117602#4117602: *40521 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /_profiler/phpinfo/info.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:10:53 [error] 4117602#4117602: *40524 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /_profiler/phpinfo/phpinfo.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:10:53 [error] 4117602#4117602: *40529 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /_profiler/phpinfo.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:10:54 [error] 4117602#4117602: *40532 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /_profiler/info.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:10:54 [error] 4117602#4117602: *40535 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /i.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:10:55 [error] 4117602#4117602: *40538 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /pi.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:10:55 [error] 4117602#4117602: *40541 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /test.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:10:55 [error] 4117602#4117602: *40544 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /test/info.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:10:56 [error] 4117602#4117602: *40553 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /dev.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:10:57 [error] 4117602#4117602: *40556 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /staging/info.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:10:57 [error] 4117602#4117602: *40559 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /backups/phpinfo.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:10:57 [error] 4117602#4117602: *40562 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /debug/info.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:10:58 [error] 4117602#4117602: *40565 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /dev/info.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:10:58 [error] 4117602#4117602: *40568 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /dev/test.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:10:59 [error] 4117605#4117605: *40571 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /php/phpinfo.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:10:59 [error] 4117605#4117605: *40574 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /php/info.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:10:59 [error] 4117605#4117605: *40577 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /php/test.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
